# kind	source	status	implementation_evidence	test_evidence	note
tool	AgentTool	equivalent	src/agents.rs	src/agents.rs;tests/agent_flow.rs	Split into Agent, AgentOutput, and AgentStop with bounded local histories.
tool	AskUserQuestionTool	implemented	src/tools/ask_user.rs	src/tools/ask_user.rs;tests/generic_capabilities.rs	Trusted terminal or control answers only.
tool	BashTool	implemented	src/tools/bash.rs;src/process.rs	src/tools/bash.rs;tests/tool_parity.rs	Cross-platform managed shell execution and output capture.
tool	BriefTool	excluded	-	-	Feature-gated proactive or hosted user-delivery surface outside the open harness.
tool	ConfigTool	equivalent	src/ui_settings.rs;src/main.rs	src/ui_settings.rs;tests/terminal_dialogs.rs	User-controlled slash and dialog surface; the model is not granted configuration authority.
tool	EnterPlanModeTool	implemented	src/plan.rs	src/plan.rs	Session-local plan transition.
tool	EnterWorktreeTool	implemented	src/worktree.rs	src/worktree.rs	Harness-owned or registered Git worktree transition.
tool	ExitPlanModeTool	implemented	src/plan.rs	src/plan.rs	Explicit root-user approval is required.
tool	ExitWorktreeTool	implemented	src/worktree.rs	src/worktree.rs	Keep or fail-closed removal with exact ownership checks.
tool	FileEditTool	implemented	src/tools/edit.rs;src/tools/mod.rs	src/tools/edit.rs;tests/tool_parity.rs	Freshness, full-read, permission, and atomicity invariants.
tool	FileReadTool	implemented	src/tools/read.rs;src/image_processing.rs	src/tools/read.rs;tests/tool_parity.rs	Text, notebook, PDF, and normalized raster media.
tool	FileWriteTool	implemented	src/tools/write.rs;src/tools/mod.rs	src/tools/write.rs;tests/tool_parity.rs	Full-read-before-overwrite and atomic writes.
tool	GlobTool	implemented	src/tools/glob.rs	src/tools/glob.rs;tests/tool_parity.rs	Ignore-aware bounded discovery without symlink traversal.
tool	GrepTool	implemented	src/tools/grep.rs	src/tools/grep.rs;tests/tool_parity.rs	Bounded ripgrep-compatible search surface.
tool	LSPTool	implemented	src/lsp.rs	src/lsp.rs	Deferred user-configured LSP clients and diagnostics.
tool	ListMcpResourcesTool	implemented	src/mcp.rs	src/mcp.rs	Resources, templates, prompts, and opaque handles.
tool	MCPTool	equivalent	src/mcp.rs	src/mcp.rs	Each discovered MCP tool is namespaced and schema checked.
tool	McpAuthTool	equivalent	src/mcp.rs;src/mcp_oauth.rs	src/mcp.rs;src/mcp_oauth.rs	Explicit user-controlled bearer or headless OAuth flow; no model-launched login.
tool	NotebookEditTool	implemented	src/tools/notebook.rs	src/tools/notebook.rs;tests/tool_parity.rs	Cell edits preserve source serialization style.
tool	PowerShellTool	equivalent	src/tools/bash.rs;src/process.rs	src/tools/bash.rs;tests/tool_parity.rs	Bash tool dispatches through PowerShell or cmd on Windows with the same permission boundary.
tool	REPLTool	excluded	-	-	An embedded arbitrary JavaScript VM conflicts with the Rust-runtime and authority boundary.
tool	ReadMcpResourceTool	implemented	src/mcp.rs	src/mcp.rs	Bounded resource read through configured MCP transports.
tool	RemoteTriggerTool	excluded	-	-	Hosted remote-trigger service and account identity are outside scope.
tool	ScheduleCronTool	equivalent	src/tools/cron.rs;src/tools/wakeup.rs;src/cron.rs	src/tools/cron.rs;src/tools/wakeup.rs;src/cron.rs	Split into fixed CronCreate/Delete/List and one transactional dynamic wakeup slot.
tool	SendMessageTool	equivalent	src/tools/team.rs;src/team.rs	src/tools/team.rs;src/team.rs	Unified local Team mailbox and lifecycle actions.
tool	SkillTool	implemented	src/tools/skill.rs;src/skills.rs	src/tools/skill.rs;src/skills.rs	Trusted and project Skill boundaries remain distinct.
tool	SleepTool	equivalent	src/tools/wakeup.rs;src/cron.rs	src/tools/wakeup.rs;src/cron.rs	Feature-gated proactive wait is represented by interruptible scheduled wakeups.
tool	SyntheticOutputTool	implemented	src/structured_output.rs	src/structured_output.rs;tests/query_loop.rs	Full JSON Schema validation and exactly-once final output.
tool	TaskCreateTool	implemented	src/tools/work_items.rs	src/tools/work_items.rs	Persistent bounded work-item store.
tool	TaskGetTool	implemented	src/tools/work_items.rs	src/tools/work_items.rs	Persistent bounded work-item lookup.
tool	TaskListTool	implemented	src/tools/work_items.rs	src/tools/work_items.rs	Persistent bounded work-item listing.
tool	TaskOutputTool	implemented	src/tools/tasks.rs	src/tools/tasks.rs;tests/tool_parity.rs	Background command, agent, and workflow output aliases.
tool	TaskStopTool	implemented	src/tools/tasks.rs	src/tools/tasks.rs;tests/tool_parity.rs	Managed process or task cancellation.
tool	TaskUpdateTool	implemented	src/tools/work_items.rs	src/tools/work_items.rs	Validated state and relationship updates.
tool	TeamCreateTool	equivalent	src/tools/team.rs;src/team.rs	src/tools/team.rs;src/team.rs	Create is one action of the unified Team tool.
tool	TeamDeleteTool	equivalent	src/tools/team.rs;src/team.rs	src/tools/team.rs;src/team.rs	Delete is one coordinator-only action of the unified Team tool.
tool	TodoWriteTool	implemented	src/tools/work_items.rs	src/tools/work_items.rs;tests/tool_parity.rs	Session todo compatibility surface.
tool	ToolSearchTool	implemented	src/tools/mod.rs	src/tools/mod.rs	Bounded deferred registry search and exact selection.
tool	WebFetchTool	implemented	src/web_tools.rs	src/web_tools.rs	DNS-pinned bounded fetch with redirect revalidation.
tool	WebSearchTool	implemented	src/web_tools.rs	src/web_tools.rs	Exists only with a trusted provider-neutral endpoint.
command	add-dir	implemented	src/main.rs;src/tools/mod.rs	src/main.rs;src/tools/mod.rs	Adds a session-scoped trusted workspace root.
command	agents	implemented	src/main.rs;src/agents.rs	src/main.rs;src/agents.rs	Lists configured open local agents.
command	ant-trace	excluded	-	-	Internal employee diagnostics are outside scope.
command	autofix-pr	excluded	-	-	Bundled product prompt package; open Skills and custom commands are the replacement surface.
command	backfill-sessions	excluded	-	-	Vendor storage migration command is not part of the open session format.
command	branch	implemented	src/main.rs;src/session.rs	src/main.rs;src/session.rs	Forks the local conversation with explicit parent metadata.
command	break-cache	excluded	-	-	Internal cache fault-injection command is outside production scope.
command	bridge	excluded	-	-	Vendor IDE or remote bridge and identity channel are outside scope.
command	btw	implemented	src/main.rs;src/query.rs	src/main.rs;tests/query_loop.rs	Tool-free contextual side question without transcript mutation.
command	bughunter	excluded	-	-	Bundled product prompt package; equivalent workflows belong in user Skills.
command	chrome	excluded	-	-	Browser extension and account bridge are outside this coding harness.
command	clear	implemented	src/main.rs;src/session.rs	src/main.rs;tests/cli_output.rs	Archives the current local session before creating a new one.
command	color	implemented	src/main.rs;src/session.rs	src/main.rs;src/session.rs	Private session prompt-bar color metadata.
command	compact	implemented	src/main.rs;src/compact.rs	src/compact.rs;tests/compact_flow.rs	Manual bounded context compaction.
command	config	implemented	src/main.rs;src/ui_settings.rs	src/ui_settings.rs;tests/terminal_dialogs.rs	Safe user-only terminal settings and typed dialog.
