# category	status	implementation_evidence	test_evidence	note
agent-team-runtime	implemented	src/agents.rs;src/team.rs;src/tools/team.rs	src/agents.rs;src/team.rs;tests/agent_flow.rs	Bounded local agents, teams, mailboxes, progress, cancellation, and lifecycle replace source decomposition units.
async-lifecycle-runtime	implemented	src/query.rs;src/process.rs;src/control.rs	tests/query_loop.rs;tests/cli_interrupt.rs	Cancellation, queues, timeouts, shutdown, and concurrent-turn state are explicit and bounded.
command-input-runtime	implemented	src/command_palette.rs;src/commands.rs;src/prompt.rs;src/interactions.rs	src/command_palette.rs;tests/terminal_pty.rs	Slash discovery, argument completion, prompt submission, and interactive command state use one provider-neutral path.
config-environment-runtime	implemented	src/config.rs;src/ui_settings.rs	src/config.rs;src/ui_settings.rs;tests/privacy_boundary.rs	Trusted user configuration is typed while project settings remain deny-only and cannot inject environment authority.
context-compact-runtime	implemented	src/context.rs;src/compact.rs;src/tokens.rs	src/context.rs;tests/compact_flow.rs	Instruction discovery, token bounds, and transactional compaction preserve the generic context lifecycle.
context-inspection-runtime	implemented	src/context_inspection.rs;src/query.rs;src/main.rs	src/context_inspection.rs;tests/cli_output.rs;tests/terminal_pty.rs	Exact estimated tokens are partitioned across instructions, tools, messages, results, media, and thinking; terminal and control views expose capacity, memory status, top tools, and bounded actionable warnings.
extension-runtime	implemented	src/hooks.rs;src/plugins.rs;src/plugin_manager.rs;src/skills.rs	src/hooks.rs;tests/plugin_lifecycle.rs;tests/tool_parity.rs	Hooks, plugins, skills, output styles, and custom commands share trusted bounded extension boundaries.
filesystem-runtime	implemented	src/context.rs;src/tools/read.rs;src/tools/edit.rs;src/tools/write.rs;src/tools/glob.rs;src/tools/grep.rs	tests/tool_parity.rs;tests/tool_call_validation.rs	Workspace-confined discovery, reads, freshness checks, atomic writes, glob, and grep cover filesystem helpers.
git-worktree-runtime	implemented	src/worktree.rs;src/file_history.rs	src/worktree.rs;src/file_history.rs;tests/cli_output.rs	Repository discovery, checkpoints, diffs, rewind, and owned worktree lifecycle are explicit and fail closed.
input-history-runtime	implemented	src/input_history.rs;src/terminal.rs	src/input_history.rs;tests/terminal_pty.rs	Private bounded cross-session prompt history supports cycling, scoped reverse search, preview, accept, and execute.
local-export-runtime	equivalent	src/session.rs;src/clipboard.rs;src/markdown.rs	src/session.rs;src/clipboard.rs;tests/fullscreen_pty.rs	Plain transcript export and bounded clipboard rendering preserve the user-facing export purpose without proprietary image or recording formats.
local-observability-runtime	equivalent	src/config.rs;src/main.rs;src/statusline.rs	src/config.rs;tests/cli_output.rs	Local debug, doctor, status, and status-line diagnostics replace telemetry-backed or runtime-specific observability helpers.
mcp-lsp-runtime	implemented	src/mcp.rs;src/mcp_oauth.rs;src/mcp_websocket.rs;src/lsp.rs	src/mcp.rs;src/mcp_oauth.rs;src/lsp.rs	Configured MCP and LSP transports, discovery, authorization, synchronization, and bounds are implemented natively.
media-document-runtime	implemented	src/image_processing.rs;src/clipboard.rs;src/tools/read.rs;src/tools/notebook.rs	src/image_processing.rs;tests/tool_parity.rs;tests/fullscreen_pty.rs	Images, clipboard paste, PDF extraction, and notebook edits are normalized and bounded before model use.
memory-runtime	implemented	src/auto_memory.rs;src/tools/memory.rs	src/auto_memory.rs;tests/cli_output.rs	Opt-in private workspace memory supports extraction, indexing, recall, consolidation, and stale-state rejection.
model-protocol-runtime	implemented	src/api.rs;src/protocol.rs;src/messages.rs;src/query.rs	tests/protocol_compat.rs;tests/protocol_fail_closed.rs;tests/query_loop.rs	Provider-neutral Messages, Chat Completions, and Responses adapters share strict streaming and message invariants.
